PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,SurvivalLabel
1,0,1,"Walker, Mr. John",male,36,1,0,51.16,S,2,0,No
2,1,1,"Wilson, Miss. Sarah",female,12,1,0,80.43,S,2,0,Yes
3,1,3,"Brown, Miss. Anna",female,1,1,2,11.34,S,4,0,Yes
4,0,1,"Brown, Miss. Grace",female,45,2,0,98.38,S,3,0,No
5,0,3,"Brown, Miss. Elizabeth",female,80,2,2,7.88,S,5,0,No
6,1,2,"Brown, Mr. Joseph",male,59,2,0,24.25,S,3,0,Yes
7,0,3,"Walker, Mr. George",male,32,1,1,10.69,Q,3,0,No
8,1,3,"Wilson, Miss. Sarah",female,8,1,0,17.08,S,2,0,Yes
9,1,3,"Hall, Miss. Clara",female,59,1,1,7.09,C,3,0,Yes
10,1,2,"Clark, Mrs. Florence",female,18,3,0,33.89,C,4,0,Yes
11,0,2,"Brown, Mr. Robert",male,77,3,2,21.29,S,6,0,No
12,0,3,"Walker, Miss. Emma",female,44,0,1,11.52,S,2,0,No
13,0,3,"Walker, Mr. James",male,39,1,0,10.61,S,2,0,No
14,1,2,"Brown, Mrs. Sarah",female,15,2,1,20.99,S,4,0,Yes
15,1,3,"Walker, Mr. Joseph",male,69,1,0,14.9,Q,2,0,Yes
16,1,3,"Walker, Miss. Sarah",female,70,1,2,9.68,Q,4,0,Yes
17,1,2,"Brown, Mr. James",male,9,2,0,29.71,S,3,0,Yes
18,1,1,"Walker, Mr. William",male,5,2,0,81.13,S,3,0,Yes
19,1,2,"Lewis, Miss. Mary",female,61,3,0,17.36,S,4,0,Yes
20,1,1,"Taylor, Mr. Charles",male,44,0,0,55.33,S,1,1,Yes
21,1,2,"Brown, Mrs. Elizabeth",female,10,3,2,17.45,S,6,0,Yes
22,1,2,"Clark, Mr. Charles",male,62,1,1,37.56,S,3,0,Yes
23,1,2,"White, Mrs. Mary",female,72,3,0,19.75,S,4,0,Yes
24,1,3,"Hall, Mr. John",male,65,1,0,19.41,S,2,0,Yes
25,0,2,"Hall, Mr. Joseph",male,73,1,2,29.86,S,4,0,No
26,1,3,"White, Miss. Anna",female,27,2,0,8.98,S,3,0,Yes
27,1,2,"White, Mr. John",male,73,0,0,28.44,S,1,1,Yes
28,0,2,"Walker, Mr. James",male,21,3,2,32.59,S,6,0,No
29,1,3,"Johnson, Miss. Florence",female,14,1,1,6.73,S,3,0,Yes
30,0,3,"Brown, Mr. Edward",male,27,2,2,12.33,Q,5,0,No
31,1,1,"Walker, Miss. Mary",female,43,1,2,118.38,S,4,0,Yes
32,1,1,"Johnson, Mr. Henry",male,20,0,1,86.6,S,2,0,Yes
33,0,3,"Clark, Mr. Joseph",male,27,1,2,6.54,C,4,0,No
34,0,3,"White, Mr. Edward",male,31,1,0,18.22,S,2,0,No
35,0,2,"Lewis, Mr. Henry",male,14,3,0,36.46,S,4,0,No
36,1,3,"Johnson, Mrs. Alice",female,30,1,0,14.9,S,2,0,Yes
37,1,3,"Smith, Miss. Anna",female,69,2,0,6.73,Q,3,0,Yes
38,0,2,"Johnson, Mrs. Mary",female,41,3,2,39.61,S,6,0,No
39,0,1,"Brown, Miss. Margaret",female,69,1,1,74.5,Q,3,0,No
40,1,3,"Taylor, Miss. Florence",female,42,3,2,9.43,S,6,0,Yes
41,1,2,"Lewis, Miss. Sarah",female,1,2,1,20.25,C,4,0,Yes
42,1,3,"Brown, Miss. Elizabeth",female,66,3,2,7.55,S,6,0,Yes
43,1,2,"Lewis, Mrs. Clara",female,26,1,0,16.16,Q,2,0,Yes
44,1,3,"Brown, Mr. Edward",male,50,3,1,8.66,S,5,0,Yes
45,1,1,"Taylor, Mr. Thomas",male,67,3,0,84.59,Q,4,0,Yes
46,0,3,"Johnson, Miss. Elizabeth",female,57,3,2,11.69,S,6,0,No
47,0,3,"Johnson, Mrs. Alice",female,67,3,2,8.59,S,6,0,No
48,1,3,"Clark, Mrs. Clara",female,11,1,0,8.47,S,2,0,Yes
49,0,3,"Hall, Mrs. Clara",female,54,0,0,17.49,S,1,1,No
50,1,1,"Lewis, Mrs. Elizabeth",female,46,2,1,108.28,Q,4,0,Yes
51,1,2,"Taylor, Miss. Florence",female,4,3,1,31.72,C,5,0,Yes
52,0,3,"Smith, Mr. Charles",male,76,0,0,14.64,S,1,1,No
53,0,2,"Johnson, Miss. Anna",female,59,2,1,34.03,S,4,0,No
54,0,1,"Smith, Mrs. Elizabeth",female,70,0,1,57.94,S,2,0,No
55,0,3,"Wilson, Mr. Thomas",male,80,1,0,6.89,S,2,0,No
56,1,3,"Hall, Miss. Clara",female,22,0,0,19.47,S,1,1,Yes
57,1,3,"Hall, Miss. Anna",female,26,0,2,15.36,S,3,0,Yes
58,0,2,"Lewis, Mr. John",male,55,2,0,27.65,S,3,0,No
59,0,3,"Lewis, Miss. Clara",female,59,1,1,7.64,S,3,0,No
60,1,2,"White, Miss. Mary",female,32,0,1,37.04,S,2,0,Yes
61,1,3,"Walker, Miss. Mary",female,24,3,0,10.32,S,4,0,Yes
62,0,1,"Lewis, Mr. Thomas",male,53,3,2,100.65,S,6,0,No
63,1,1,"Walker, Mr. Robert",male,29,3,2,59.46,S,6,0,Yes
64,1,2,"Wilson, Mrs. Alice",female,71,2,1,32.57,S,4,0,Yes
65,0,3,"Walker, Mr. Joseph",male,24,1,0,16.08,S,2,0,No
66,0,3,"Johnson, Mrs. Mary",female,25,2,0,10.41,S,3,0,No
67,0,3,"Lewis, Mr. Henry",male,17,3,0,18.09,S,4,0,No
68,1,3,"Smith, Mr. William",male,33,3,0,17.33,S,4,0,Yes
69,0,3,"Hall, Mr. George",male,39,0,0,6.78,C,1,1,No
70,1,2,"Wilson, Mrs. Elizabeth",female,57,2,2,39.75,S,5,0,Yes
71,1,3,"Johnson, Miss. Mary",female,21,1,0,13.28,S,2,0,Yes
72,0,2,"Hall, Mr. George",male,37,3,0,32.18,Q,4,0,No
73,1,1,"Hall, Miss. Florence",female,29,1,1,106.13,S,3,0,Yes
74,1,2,"Brown, Miss. Florence",female,60,2,2,25.06,S,5,0,Yes
75,0,3,"Hall, Mr. Joseph",male,42,2,0,6.37,Q,3,0,No
76,0,3,"Taylor, Mr. Joseph",male,35,0,0,12.06,S,1,1,No
77,0,3,"White, Mrs. Clara",female,63,0,1,10.22,S,2,0,No
78,1,2,"Walker, Miss. Mary",female,52,0,1,17.2,S,2,0,Yes
79,0,2,"Johnson, Mrs. Grace",female,25,2,2,33.91,S,5,0,No
